FACILITY,ADDRESS,CITY,STATE,ZIP,CREDENTIALID,LAWENFORCEMENT,New Georeferenced Column
CVS PHARMACY #2572,1 HAWLEY LN,STRATFORD,CT,06614-1200,1676981,false,POINT (-73.15428 41.23052)
ELLINGTON POLICE DEPARTMENT,33 ARBOR WAY,ELLINGTON,CT,06029-3354,1345706,true,POINT (-72.46352 41.90305)
STRATFORD POLICE,900 LONGBROOK AVE,STRATFORD,CT,06614-5007,1184244,true,POINT (-73.12847 41.2019)
MADISON POLICE DEPARTMENT,9 CAMPUS DR,MADISON,CT,06443-2562,1268362,true,POINT (-72.5762 41.29573)
OXFORD RESIDENT TROOPERS OFFICE,429 OXFORD RD,OXFORD,CT,06478-1231,1452041,true,POINT (-73.11674 41.43445)
CVS PHARMACY #942,542 PROVIDENCE RD,BROOKLYN,CT,06234-3413,2154036,false,POINT (-71.903428 41.79872)
WESTPORT POLICE DEPARTMENT,50 JESUP RD,WESTPORT,CT,06880-4309,1210344,true,POINT (-73.35998 41.1402)
SCSU Police Department,510 Crescent Street,New HAven,CT,06515,2323111,true,POINT (-72.947716 41.330962)
MERIDEN POLICE DEPARTMENT,50 WEST MAIN ST,MERIDEN,CT,06451,1231342,true,POINT (-72.80429 41.53823)
WESTON POLICE DEPARTMENT,56 NORFIELD ROAD,WESTON,CT,06883,1508431,true,POINT (-73.37857 41.20158)
SOUTHINGTON POLICE DEPARTMENT,69 LAZY LN,SOUTHINGTON,CT,06489-1763,1078015,true,POINT (-72.87585 41.62155)
BEACON PRESCRIPTIONS,57 SOUTH ST,BRISTOL,CT,06010-6524,2195437,false,POINT (-72.94625 41.66842)
NORTH HAVEN POLICE DEPARTMENT,8 LINSLEY ST,NORTH HAVEN,CT,06473-2517,1599071,true,POINT (-72.86198 41.38712)
BROOKFIELD POLICE DEPARTMENT,63 SILVERMINE RD,BROOKFIELD,CT,06804-2014,1131779,true,POINT (-73.40272 41.46788)
MASHANTUCKET PEQUOT TRIBAL POLICE DEPARTMENT,101 PEQUOT TRL,MASHANTUCKET,CT,06338-3196,1332185,true,POINT (-71.95637 41.46609)
SHELTON POLICE DEPARTMENT (K9 UNIT),85 WHEELER ST,SHELTON,CT,06484,1051847,true,POINT (-73.10968 41.3223)
WATERFORD POLICE DEPARTMENT,41 AVERY LN,WATERFORD,CT,06385-2202,1043428,true,POINT (-72.13724 41.34452)
CVS PHARMACY #865,839 E MAIN ST,MERIDEN,CT,06450-6006,1676975,false,POINT (-72.77501 41.52774)
DESPP DIVISION OF STATE POLICE TROOP G,149 PROSPECT ST,BRIDGEPORT,CT,06604-4621,1342902,true,POINT (-73.19133 41.17279)
NEW CANAAN POLICE DEPARTMENT,174 SOUTH AVE,NEW CANAAN,CT,06840-5728,1036989,true,POINT (-73.49064 41.14101)
CVS PHARMACY #288,839 FARMINGTON AVE,BRISTOL,CT,06010-3922,1676969,false,POINT (-72.91535 41.69318)
DESPP DIVISION OF STATE POLICE TROOP B,463B ASHLEY FALLS ROAD,NORTH CANAAN,CT,06018,1342876,true,POINT (-73.3255 42.04256)
STONINGTON POLICE DEPARTMENT,173 S BROAD ST,PAWCATUCK,CT,06379-1920,1275903,true,POINT (-71.86196 41.36815)
MOHEGAN TRIBAL POLICE,49 SANDY DESERT RD,UNCASVILLE,CT,06382-1111,1338385,true,POINT (-72.09678 41.49263)
TOWN OF NORTH BRANFORD POLICE DEPT.,260 FOREST ROAD,NORTH BRANFORD,CT,06471,2218236,true,POINT (-72.801875 41.351381)
CITY OF GROTON POLICE DEPARTMENT,295 MERIDIAN ST,GROTON,CT,06340-4012,1075254,true,POINT (-72.07024 41.35484)
HAMDEN POLICE DEPARTMENT,2900 Dixwell Avenue,Hamden,CT,06518,1599067,true,POINT (-72.90357 41.38366)
WINDSOR LOCKS POLICE DEPARTMENT,4 VOLUNTEER DR,WINDSOR LOCKS,CT,06096-2134,1058663,true,POINT (-72.64759 41.92788)
ORANGE POLICE DEPARTMENT,314 LAMBERT ROAD,ORANGE,CT,06477,1523092,true,POINT (-73.00678 41.2643)
TOWN OF GROTON POLICE DEPT,68 GROTON LONG POINT RD,GROTON,CT,06340-4806,1122632,true,POINT (-72.01057 41.34285)
CROMWELL POLICE DEPARTMENT,5 WEST ST,CROMWELL,CT,06416-2123,2096084,true,POINT (-72.64655 41.59605)
